algoritmo,heuristica,metrica,media,mediana,std,min,max,p25,p75,ic95_bajo,ic95_alto
a_estrella,h6_w1.0,memoria_max,2482.104,1488.0,2936.0668152355674,9.0,25374.0,614.75,3163.5,2299.9072967576913,2664.3007032423084
codicioso,h1,pasos,49.223,48.0,14.043806446241685,3.0,88.0,40.0,59.0,48.35151600576636,50.094483994233634
codicioso,h1,tiempo_ms,42.303999,35.091,31.609007085321725,0.502,191.877,17.834,59.19825,40.34251200187583,44.26548599812416
codicioso,h1,nodos_expandidos,762.381,702.0,488.2229875011259,4.0,2487.0,343.0,1047.0,732.0844759875929,792.677524012407
codicioso,h1,nodos_generados,1279.319,1178.5,813.700738681692,9.0,4132.0,586.5,1760.75,1228.8250564547334,1329.8129435452665
codicioso,h1,memoria_max,1249.77,1147.5,793.569037272068,9.0,4014.0,572.75,1721.5,1200.5253228571391,1299.0146771428608
codicioso,h2,pasos,43.651,44.0,12.82238716513476,3.0,87.0,35.0,52.0,42.855310795292105,44.4466892047079
codicioso,h2,tiempo_ms,18.158088,14.9725,13.566658549416376,0.277,80.115,7.08775,26.1605,17.316213268508434,18.999962731491564
codicioso,h2,nodos_expandidos,280.148,282.0,171.17999499557968,4.0,726.0,121.0,380.25,269.525479222411,290.77052077758907
codicioso,h2,nodos_generados,482.739,483.0,295.2810216738637,9.0,1254.0,206.5,657.25,464.41542902408463,501.0625709759153
codicioso,h2,memoria_max,478.042,480.0,291.0911821273745,9.0,1235.0,204.75,652.0,459.978428200031,496.10557179996897
codicioso,h3,pasos,32.553,32.0,8.95216914118206,3.0,59.0,26.0,38.0,31.997475958133112,33.108524041866886
codicioso,h3,tiempo_ms,6.449374,5.5695,3.8748364752378692,0.49,42.391,3.62425,8.283,6.208922240616334,6.689825759383665
codicioso,h3,nodos_expandidos,70.439,64.0,31.422470473383385,4.0,185.0,48.0,89.25,68.48908847269033,72.38891152730966
codicioso,h3,nodos_generados,122.809,113.0,52.7572349999964,9.0,308.0,86.0,155.25,119.53516636675283,126.08283363324716
codicioso,h3,memoria_max,122.552,113.0,52.446448172644885,9.0,305.0,86.0,155.25,119.29745214562571,125.8065478543743
codicioso,h4,pasos,32.711,32.0,9.173528908366324,3.0,63.0,26.0,39.0,32.14173954736678,33.280260452633215
codicioso,h4,tiempo_ms,6.995009,5.8965,4.400590242842931,0.524,42.614,3.9147499999999997,8.8855,6.721931755842692,7.268086244157307
codicioso,h4,nodos_expandidos,68.81,63.0,31.321445256132943,4.0,184.0,48.0,83.0,66.86635756078869,70.75364243921132
codicioso,h4,nodos_generados,119.971,110.5,52.55922974732061,9.0,306.0,85.0,145.0,116.70945352046303,123.23254647953698
codicioso,h4,memoria_max,119.743,110.0,52.22369448119564,9.0,303.0,85.0,144.0,116.5022750559241,122.98372494407589
codicioso,h5,pasos,27.467,26.0,7.860578839990074,3.0,55.0,22.0,32.0,26.97921425112305,27.954785748876947
codicioso,h5,tiempo_ms,2.9493199999999997,2.3985,2.7647548967746203,0.319,67.521,1.5430000000000001,3.64675,2.7777540040044526,3.120885995995547
codicioso,h5,nodos_expandidos,43.13,36.0,23.08597110935691,4.0,121.0,26.0,54.0,41.69740732007676,44.56259267992324
codicioso,h5,nodos_generados,77.361,65.5,38.714641965314655,9.0,208.0,48.0,97.0,74.95857506311357,79.76342493688644
codicioso,h5,memoria_max,77.248,65.5,38.49740960826516,9.0,207.0,48.0,97.0,74.85905534874148,79.63694465125853
codicioso,h6_w0.3,pasos,51.669,53.0,15.600282298978048,3.0,94.0,40.0,63.0,50.700929386016,52.637070613983994
codicioso,h6_w0.3,tiempo_ms,20.626798,18.4405,12.570646214711934,0.351,79.069,10.88925,28.371499999999997,19.84673050083372,21.406865499166283
codicioso,h6_w0.3,nodos_expandidos,318.126,351.5,153.18456068949519,4.0,674.0,182.75,429.0,308.6201802412599,327.63181975874005
codicioso,h6_w0.3,nodos_generados,539.518,596.0,259.17254114215507,9.0,1140.0,308.0,726.0,523.4351294324773,555.6008705675227
codicioso,h6_w0.3,memoria_max,532.906,588.0,256.2260661231815,9.0,1124.0,304.0,718.0,517.0059720135306,548.8060279864693
codicioso,h6_w0.6,pasos,51.987,53.0,16.394987850761787,3.0,99.0,40.0,64.0,50.96961418282239,53.004385817177614
codicioso,h6_w0.6,tiempo_ms,17.780018,16.223,10.90094130306961,0.347,66.026,9.4495,24.83775,17.10356351423999,18.456472485760006
codicioso,h6_w0.6,nodos_expandidos,269.014,308.0,124.69171515312405,4.0,510.0,150.0,371.25,261.2762948140554,276.7517051859446
codicioso,h6_w0.6,nodos_generados,459.288,521.5,211.57697860087208,9.0,870.0,256.0,637.0,446.15865710391387,472.41734289608615
codicioso,h6_w0.6,memoria_max,455.253,517.0,209.7335575346877,9.0,859.0,253.75,632.0,442.2380500186811,468.26794998131885
codicioso,h6_w1.0,pasos,43.651,44.0,12.82238716513476,3.0,87.0,35.0,52.0,42.855310795292105,44.4466892047079
codicioso,h6_w1.0,tiempo_ms,17.995792,15.371,13.00038735107589,0.546,67.848,6.6114999999999995,25.9175,17.189057049709373,18.80252695029063
codicioso,h6_w1.0,nodos_expandidos,280.148,282.0,171.17999499557968,4.0,726.0,121.0,380.25,269.525479222411,290.77052077758907
codicioso,h6_w1.0,nodos_generados,482.739,483.0,295.2810216738637,9.0,1254.0,206.5,657.25,464.41542902408463,501.0625709759153
codicioso,h6_w1.0,memoria_max,478.042,480.0,291.0911821273745,9.0,1235.0,204.75,652.0,459.978428200031,496.10557179996897
