,h1,h2,h3,h4,h5,h6_w0.3,h6_w0.6,h6_w1.0
h1,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h2,1.1102230246251565e-16,1.0,2.117803710177668e-10,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.9135019425490156
h3,1.1102230246251565e-16,2.117803710177668e-10,1.0,0.0002351433134768488,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.4654943925052066e-14
h4,1.1102230246251565e-16,1.1102230246251565e-16,0.0002351433134768488,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h5,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h6_w0.3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-16,1.1102230246251565e-16
h6_w0.6,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-16
h6_w1.0,1.1102230246251565e-16,0.9135019425490156,1.4654943925052066e-14,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0
