,h1,h2,h3,h4,h5,h6_w0.3,h6_w0.6,h6_w1.0
h1,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h2,1.1102230246251565e-16,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.7555677406532197e-08,0.9895591858260818,0.9961088260183705
h3,1.1102230246251565e-16,1.1102230246251565e-16,1.0,0.0898488191608161,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h4,1.1102230246251565e-16,1.1102230246251565e-16,0.0898488191608161,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h5,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h6_w0.3,1.1102230246251565e-16,2.7555677406532197e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0,4.133973305453509e-06,2.0530110128591517e-06
h6_w0.6,1.1102230246251565e-16,0.9895591858260818,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,4.133973305453509e-06,1.0,0.9999999716787262
h6_w1.0,1.1102230246251565e-16,0.9961088260183705,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.0530110128591517e-06,0.9999999716787262,1.0
