,h1,h2,h3,h4,h5,h6_w0.3,h6_w0.6,h6_w1.0
h1,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h2,1.1102230246251565e-16,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.3229132000969201e-07,0.1422956095079344,1.0
h3,1.1102230246251565e-16,1.1102230246251565e-16,1.0,0.768348473812531,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h4,1.1102230246251565e-16,1.1102230246251565e-16,0.768348473812531,1.0,2.2093438190040615e-14,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h5,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.2093438190040615e-14,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h6_w0.3,1.1102230246251565e-16,1.3229132000969201e-07,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0,5.551115123125783e-16,1.3229132000969201e-07
h6_w0.6,1.1102230246251565e-16,0.1422956095079344,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-16,1.0,0.1422956095079344
h6_w1.0,1.1102230246251565e-16,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.3229132000969201e-07,0.1422956095079344,1.0
