,h1,h2,h3,h4,h5,h6_w0.3,h6_w0.6,h6_w1.0
h1,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h2,1.1102230246251565e-16,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0
h3,1.1102230246251565e-16,1.1102230246251565e-16,1.0,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h4,1.1102230246251565e-16,1.1102230246251565e-16,3.3306690738754696e-16,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h5,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
h6_w0.3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-16,1.1102230246251565e-16
h6_w0.6,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-16
h6_w1.0,1.1102230246251565e-16,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0
