instancia_id,algoritmo,heuristica,encontrado,pasos,tiempo_ms,nodos_expandidos,nodos_generados,memoria_max
6,codicioso,h3,True,38,4.237,69,119,119
6,a_estrella,h3,True,24,64.692,1125,1822,1789
6,codicioso,h4,True,38,5.338,69,119,119
6,a_estrella,h4,True,24,55.905,886,1441,1421
6,codicioso,h5,True,28,1.948,32,60,60
6,a_estrella,h5,True,24,7.841,171,306,306
6,codicioso,h6_w0.3,True,56,12.463,282,473,468
6,a_estrella,h6_w0.3,True,24,324.96,7103,11579,11193
6,codicioso,h6_w0.6,True,56,10.711,254,427,422
6,a_estrella,h6_w0.6,True,24,207.862,3493,5685,5531
6,codicioso,h6_w1.0,True,26,3.361,77,137,136
6,a_estrella,h6_w1.0,True,24,207.459,2035,3312,3247
7,codicioso,h1,True,58,46.105,1191,1995,1956
7,a_estrella,h1,True,24,811.679,17545,28428,27194
7,codicioso,h2,True,56,11.87,283,476,473
7,a_estrella,h2,True,24,54.377,1392,2255,2223
7,codicioso,h3,True,36,5.186,66,115,115
7,a_estrella,h3,True,24,43.278,719,1147,1129
7,codicioso,h4,True,36,5.01,68,120,120
7,a_estrella,h4,True,24,28.725,448,718,711
7,codicioso,h5,True,42,3.966,96,160,159
7,a_estrella,h5,True,24,4.679,105,191,190
7,codicioso,h6_w0.3,True,68,20.802,460,782,777
7,a_estrella,h6_w0.3,True,24,344.501,6229,10170,9869
7,codicioso,h6_w0.6,True,64,21.238,357,595,590
7,a_estrella,h6_w0.6,True,24,190.429,2748,4461,4356
7,codicioso,h6_w1.0,True,56,13.772,283,476,473
7,a_estrella,h6_w1.0,True,24,82.032,1392,2255,2223
8,codicioso,h1,True,53,35.385,743,1254,1216
8,a_estrella,h1,True,23,695.748,13519,22049,21187
8,codicioso,h2,True,73,33.288,670,1157,1138
8,a_estrella,h2,True,23,122.181,1633,2640,2589
8,codicioso,h3,True,43,14.816,134,226,226
8,a_estrella,h3,True,23,76.844,886,1414,1393
8,codicioso,h4,True,31,5.61,52,89,89
8,a_estrella,h4,True,23,56.944,560,913,903
8,codicioso,h5,True,25,2.245,30,57,57
8,a_estrella,h5,True,23,12.916,179,314,311
8,codicioso,h6_w0.3,True,61,25.182,392,663,655
8,a_estrella,h6_w0.3,True,23,328.76,5449,8896,8648
8,codicioso,h6_w0.6,True,51,8.159,175,303,299
8,a_estrella,h6_w0.6,True,23,133.075,2795,4536,4421
8,codicioso,h6_w1.0,True,73,28.657,670,1157,1138
8,a_estrella,h6_w1.0,True,23,71.815,1633,2640,2589
9,codicioso,h1,True,52,8.67,256,435,429
9,a_estrella,h1,True,26,1608.241,36648,58062,54358
9,codicioso,h2,True,60,14.079,274,480,477
9,a_estrella,h2,True,26,94.555,1709,2714,2671
9,codicioso,h3,True,42,6.822,83,144,144
9,a_estrella,h3,True,26,85.486,927,1476,1458
9,codicioso,h4,True,52,19.76,169,284,282
9,a_estrella,h4,True,26,48.889,425,681,675
9,codicioso,h5,True,46,8.723,100,171,170
9,a_estrella,h5,True,26,7.943,115,206,205
9,codicioso,h6_w0.3,True,52,12.41,168,289,287
9,a_estrella,h6_w0.3,True,26,872.192,12451,20162,19477
9,codicioso,h6_w0.6,True,86,21.124,411,702,696
9,a_estrella,h6_w0.6,True,26,292.323,4650,7471,7256
9,codicioso,h6_w1.0,True,60,19.466,274,480,477
9,a_estrella,h6_w1.0,True,26,107.289,1709,2714,2671
10,codicioso,h1,True,64,97.958,1860,3109,3037
10,a_estrella,h1,True,26,2104.21,36959,58549,54826
10,codicioso,h2,True,58,20.948,528,908,895
10,a_estrella,h2,True,26,97.82,2414,3833,3768
10,codicioso,h3,True,52,6.555,107,184,183
10,a_estrella,h3,True,26,102.148,1511,2427,2390
10,codicioso,h4,True,42,4.855,76,132,132
10,a_estrella,h4,True,26,110.591,1204,1953,1931
10,codicioso,h5,True,30,2.395,32,60,60
10,a_estrella,h5,True,26,8.866,156,279,277
10,codicioso,h6_w0.3,True,58,22.687,409,690,683
10,a_estrella,h6_w0.3,True,26,739.774,13215,21467,20677
10,codicioso,h6_w0.6,True,58,23.703,396,669,662
10,a_estrella,h6_w0.6,True,26,313.468,5454,8826,8574
10,codicioso,h6_w1.0,True,58,28.569,528,908,895
10,a_estrella,h6_w1.0,True,26,157.327,2414,3833,3768
11,codicioso,h1,True,35,16.491,351,598,588
11,a_estrella,h1,True,19,88.831,2040,3420,3338
11,codicioso,h2,True,35,3.928,99,169,167
11,a_estrella,h2,True,19,6.003,154,255,253
11,codicioso,h3,True,35,4.219,53,98,98
11,a_estrella,h3,True,19,4.933,83,136,135
11,codicioso,h4,True,35,3.857,53,98,98
11,a_estrella,h4,True,19,3.365,50,86,85
11,codicioso,h5,True,19,0.94,20,37,37
11,a_estrella,h5,True,19,1.267,23,42,42
11,codicioso,h6_w0.3,True,35,10.637,244,409,406
11,a_estrella,h6_w0.3,True,19,32.635,679,1118,1099
11,codicioso,h6_w0.6,True,35,13.876,246,417,414
11,a_estrella,h6_w0.6,True,19,14.079,287,474,469
11,codicioso,h6_w1.0,True,35,4.769,99,169,167
11,a_estrella,h6_w1.0,True,19,8.887,154,255,253
12,codicioso,h1,True,34,15.93,405,697,682
12,a_estrella,h1,True,22,301.231,7357,12201,11831
12,codicioso,h2,True,42,14.486,326,561,554
12,a_estrella,h2,True,22,29.559,624,1010,995
12,codicioso,h3,True,40,3.666,57,100,100
12,a_estrella,h3,True,22,22.189,326,537,535
12,codicioso,h4,True,40,4.482,69,120,120
12,a_estrella,h4,True,22,28.568,416,688,686
12,codicioso,h5,True,30,5.123,87,151,151
12,a_estrella,h5,True,22,2.776,61,112,112
12,codicioso,h6_w0.3,True,42,19.906,369,623,615
12,a_estrella,h6_w0.3,True,22,124.971,2472,4067,3978
12,codicioso,h6_w0.6,True,42,11.582,248,419,414
12,a_estrella,h6_w0.6,True,22,46.553,1104,1798,1761
12,codicioso,h6_w1.0,True,42,13.724,326,561,554
12,a_estrella,h6_w1.0,True,22,32.696,624,1010,995
13,codicioso,h1,True,66,61.63,1700,2843,2768
13,a_estrella,h1,True,24,804.426,17596,28425,27135
13,codicioso,h2,True,52,24.932,575,995,976
13,a_estrella,h2,True,24,113.364,2145,3436,3362
13,codicioso,h3,True,24,2.277,37,63,63
13,a_estrella,h3,True,24,69.743,1141,1804,1775
13,codicioso,h4,True,24,2.494,37,63,63
13,a_estrella,h4,True,24,59.19,872,1387,1365
13,codicioso,h5,True,30,1.462,34,59,59
13,a_estrella,h5,True,24,6.472,152,271,268
13,codicioso,h6_w0.3,True,50,21.619,515,877,870
13,a_estrella,h6_w0.3,True,24,338.187,6820,11086,10717
13,codicioso,h6_w0.6,True,50,18.321,417,720,712
13,a_estrella,h6_w0.6,True,24,152.298,3389,5484,5331
13,codicioso,h6_w1.0,True,52,24.983,575,995,976
13,a_estrella,h6_w1.0,True,24,111.285,2145,3436,3362
14,codicioso,h1,True,40,27.763,685,1146,1127
14,a_estrella,h1,True,24,771.02,16791,27349,26170
14,codicioso,h2,True,68,16.766,406,711,705
14,a_estrella,h2,True,24,29.964,797,1284,1268
14,codicioso,h3,True,30,2.493,42,74,74
14,a_estrella,h3,True,24,17.669,326,529,526
14,codicioso,h4,True,30,2.666,41,73,73
14,a_estrella,h4,True,24,13.145,218,361,358
14,codicioso,h5,True,24,1.683,39,72,72
14,a_estrella,h5,True,24,3.393,83,144,143
14,codicioso,h6_w0.3,True,64,8.701,224,373,369
14,a_estrella,h6_w0.3,True,24,236.309,5193,8550,8305
14,codicioso,h6_w0.6,True,90,17.318,408,699,693
14,a_estrella,h6_w0.6,True,24,81.594,1999,3225,3151
14,codicioso,h6_w1.0,True,68,16.962,406,711,705
14,a_estrella,h6_w1.0,True,24,34.38,797,1284,1268
15,codicioso,h1,True,53,27.432,777,1293,1263
15,a_estrella,h1,True,25,1212.712,28298,45331,42828
15,codicioso,h2,True,35,10.198,264,449,446
15,a_estrella,h2,True,25,79.889,1854,2967,2918
15,codicioso,h3,True,25,1.593,27,47,47
15,a_estrella,h3,True,25,69.592,859,1372,1352
15,codicioso,h4,True,43,12.286,136,229,227
15,a_estrella,h4,True,25,41.182,453,733,725
15,codicioso,h5,True,25,1.336,26,46,46
15,a_estrella,h5,True,25,6.422,108,185,183
15,codicioso,h6_w0.3,True,39,13.846,228,379,374
15,a_estrella,h6_w0.3,True,25,550.776,9774,15904,15380
15,codicioso,h6_w0.6,True,39,11.316,222,372,367
15,a_estrella,h6_w0.6,True,25,227.306,4116,6684,6515
15,codicioso,h6_w1.0,True,35,15.44,264,449,446
